Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
32718983,6/22/2017 22:50,6/22/2017 23:21,70070,1908,1017,21st St & Penn Ave,1017,21st St & Penn Ave,Subscriber
32718985,6/22/2017 22:51,6/22/2017 22:58,70449,416,1020,42nd & Penn Ave.,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
32719025,6/22/2017 22:56,6/22/2017 23:05,70284,539,1008,Centre Ave & PPG Paints Arena,1048,S 18th St & Sidney St,Customer
32719036,6/22/2017 22:57,6/23/2017 21:29,70426,81071,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
32719038,6/22/2017 22:57,6/22/2017 23:22,70099,1479,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
32719061,6/22/2017 23:00,6/22/2017 23:52,70450,3093,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
32719067,6/22/2017 23:01,6/22/2017 23:24,70016,1396,1001,Forbes Ave & Market Square,1044,Zulema St & Coltart Ave,Subscriber
32719174,6/22/2017 23:20,6/23/2017 0:50,70171,5388,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
32719175,6/22/2017 23:20,6/22/2017 23:25,70324,326,1023,Liberty Ave & Baum Blvd,1031,Maryland Ave & Ellsworth Ave,Customer
32719180,6/22/2017 23:20,6/23/2017 1:01,70400,6084,1018,37th St & Butler St,1018,37th St & Butler St,Customer
32719189,6/22/2017 23:21,6/23/2017 0:50,70297,5292,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
32719190,6/22/2017 23:21,6/23/2017 0:50,70115,5292,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
32719191,6/22/2017 23:21,6/23/2017 0:50,70342,5292,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
